TIMESTAMP,COMMENTS,TOPIC,CLIENT,CLINIC,LABEL
Jun-22,"I had an appointment 6/21 scheduled several months ahead of time. I received 2 reminders and when I showed up, the medical person was on maternity leave. No one bothered to tell me. The Dr. Reassigned to me was pleasant! ",Lab result and services,Buckeye Advantage - Bryan,Bryan Clinic,Negative
Jun-22," I didn’t just feel like another patient. They took their time and listened. They are super friendly, the office is very nice. ",Engagement with Patient's,nan,Rollins Health Center,Positive
Jun-22," Yearly Physical I understand there was a new provider, but it would be nice if they read about your previous test instead of asking for dates. Also, this is the second year that your MA can't draw my blood. Last year both persons tried four times, and this year one MA tried twice, and the other MA tried two times. I have problematic veins, but this has only happened to me on Everside.",Services,Weld County Colorado,Weld County Employee Medical Center,Positive
Jun-22, Everything was done right time well spent Everything was good,Concerns addressed,nan,Terre Haute Clinic,Positive
Jun-22, Adam went above and beyond in calling me directly after scheduling my appointment with another doctor. Adam was awesome,Good doctor,Akron Public Schools,Akron S. Main Health Center,Positive
Jun-22, All well ,Professionalism,Buckeye Advantage - Bryan,Bryan Clinic,Positive
Jun-22, Kind and patient ,Services,SEBT,Marion IN Clinic,Positive
Jun-22, From beginning to end..very professional. ,Engagement with Patient's,nan,Station Casinos Medical Center - Red Rock,Positive
Jun-22, Staff and doctor is extremely friendly /helpful and really seem to be concerned about your health matter ,Good doctor,Mid Central Operating Engineers - MCOE,East Peoria Clinic,Positive
Jun-22, They pay attention and listen to everything you have to say. Nothing it was great,Concerns addressed,"City of West Lafayette, IN",West Lafayette Kent Avenue Health Center,Positive
Jun-22," Provider was very attentive to my needs and projected caring vibe 

Nurse was quick and upbeat Would like wait time to decrease. I am am professional too and need to get seen quicker",Engagement with Patient's,Michelin - South Carolina,Michelin Family Health Center - HNA,Positive
Jun-22, Just the way everyone treats you from the minute you walk in to the moment you leave is very comforting. N/a,Engagement with Patient's,Plumbers & Pipefitters Union Local 525,Collective Union Health - Windmill Lane,Positive
Jun-22,My husband went to everside in vanwert to get his wellness nicotine swab. They never took any papers or asked him who his spouse was. On the swab they just had him put his name on a sticky note and sent him on his way The blood draw was good. Was there for my wellness check and the only thing they did was ask questions. ,Unskilled,Cooper Farms,Cooper Farms St. Henry Clinic,Negative
Jun-22, Friendly and helpful Nothing,Professionalism,Michiana Electrical Workers Local 153,IBEW Local 153/UA Local 172 - South Bend,Positive
Jun-22, Michelle is so wonderful! She listened to everything I had to say and allowed me to choose what I believed would work best for my body after presenting me with my all of treatment options. I will definitely be returning to her for all of my medical care in the future! ,Engagement with Patient's,Aisin - Michigan,Novi Michigan Clinic,Positive
Jun-22," Always a wonderful experience where I feel welcomed and part of the ""family"" there. I could tell them all anything and they take the time to really listen and understand and help both proactively and in the moment. I adore the Napoleon Everside group 100%. The ladies at the front desk are always, always amazing. Tyler was an rotating doctor, but he was amazing, and left me with hope and actions I could immediately take to feel better and helped explain what I could do next if things did not improve. He was compassionate and one of the best listeners I have met. I usually see Jen who I also adore and am constantly appreciative of!!!!",Good doctor,Buckeye Advantage - Napoleon,Napoleon Clinic,Positive
Jun-22, Explaining procedures and results from tests ,Doctor listen the concerns,South Bend Community Schools,South Bend Community Schools Clinic,Neutral
Jun-22," The Everside team is kind, knowledgeable and skilled. Nothing",Services,Colorado Higher Education Insurance Benefits Alliance Trust - CHEIBA,Pueblo Fortino Boulevard Health Center,Positive
Jun-22,Everything was good no complaints.  I don’t feel Everside is affordable to everyone so I cannot recommend it for everyone  ,Good doctor,State of Colorado,Broomfield Buffalo Ridge Clinic,Positive
Jun-22,"I spend more time with the doctor then I do in the waiting room. They are the epitome of health professionals, so they do all things great not just well. ",Lab result and services,HTT Inc.,Sheboygan Falls Plankview Office,Negative
Jun-22,They’re changing my drugs for my diabetes with no medical test a reason for doing it last time you guys did this I ended up in the hospital I don’t wanna end up there again I should’ve taken the blood test before I ever seen the doctor so that way they would have the results and have proper information  I already told you instead of give me my blood test I have a time like was scheduled I had to go see the doctor first for drugs that they reduce for my diabetes had I had my blood test first the doctor would’ve had all the information but it seems like you just want to give me more appointments,Good doctor,IBEW Local 357,Union Family Health Center - Northwest,Positive
Jun-22," Always friendly and supportive. The staff, nurses and Lindsay Lollis are excellent and provide me with the much needed help and care desired.
… that’s why I moved my needs to this facility because at the previous location I was just a number , here I feel they actually care about my health. There were no snacks or free juice drinks available which would be nice.

Or maybe a chic-fil-a gift card 🤣",Engagement with Patient's,Michelin - South Carolina,Michelin Family Health Center - Donaldson,Positive
Jun-22, On time Nothing,Professionalism,M&S Management Company,City Of South Bend Clinic,Positive
Jun-22," fast, efficient & courteous.  Staff always has a smile and NP is warm and welcoming. ",Engagement with Patient's,Fowler State Bank,Benton County IN Health and Wellness Center,Positive
Jun-22," Listening with curiosity and care, sharing ideas and options, creating connection, fostering a warm and welcoming environment, no judgement or shaming, smiles, very personable and relatable, patient. This list applies to all staff and is by no means exhausted. I honestly don't have a single complaint or suggestion. My whole experience was above and beyond any other medical appointment experience.",Engagement with Patient's,Everside Health - Wisconsin,New Berlin Health Center,Positive
Jun-22, Dr. Thomas and her staff were amazing and kind. They listen and provide great healthcare. ,Concerns addressed,Akron Public Schools,Akron-White Pond Drive Clinic,Positive
Jun-22, Staff was courteous and informative. My health issue was addressed and I was provided with guidance on how to care for myself. ,Services,State of New Jersey - (Horizon BCBS),Hamilton Quakerbridge Road Office,Positive
Jun-22,Most of our friends and family don't work for the City of Akron and do not have access to this healthcare option without paying for it out of their own pocket. My doctor listened and double checked a medication side effect I think I am experiencing.  She did a few non-invasive tests to determine her course of treatment.  She also provided me with a 30 day supply of medicine to see if it alleviates the constant pain I've been in for a couple months. ,Testing and Treatment,City of Akron,Akron S. Main Health Center,Negative
Jun-22," Megan was punctual, caring and compassionate. She one of the best physicians I have ever had. ",Good doctor,State of Colorado,Lakewood Belmar Medical Building Clinic,Positive
Jun-22, Staff and doctor are very polite and nice. Dr. Beckles explains in detail all your information. She is wonderful and i highly recommend going to her. Everything was perfect.,Concerns addressed,State of New Jersey - (Horizon BCBS),Hamilton - Whitehorse Mercerville Road Health Center,Positive
Jun-22,Friendly and helpful Took the time Nothing here,Professionalism,Major Tool And Machine,Major Tool Clinic,Positive
Jun-22,wonderful - friendly staff fixed the problem nothing,Professionalism,Metalcraft of Mayville,Mayville Metalcraft Clinic,Positive
Jun-22, The Doctor and. Ruse were very nice and polite All went well Thankyou,Services,Metalcraft of Mayville,West Bend Village Green Way Clinic,Positive
Jun-22," CDL physical,  standard ",Doctor listen the concerns,Northeast Indiana School Insurance Trust,Angola Clinic,Neutral
Jun-22, Dr. Peterson truly cares what I have to say and explains everything to me.  I don't feel like I am just a number. Can not think of anything.,Good doctor,DaVita - Colorado,Northglenn Metro North Clinic,Positive
Jun-22,The constant turnaround of drs is kind of a pain in the ass. Having to give my history every time I go in gets old. I thinks there have been 4 different drs in less than 2 yrs. And the fact that I have to see the dr every 90 days to get a prescription refilled is annoying as well. Other than that… Punctuality ,Good doctor,Michelin - Oklahoma,Michelin Family Health Center - Ardmore,Positive
Jun-22, I felt like I was able to get to know my provider and that they were genuinely interested in providing care for me. ,Services,City of Akron,Akron S. Main Health Center,Positive
Jun-22," The medial assistants greeted me as soon as I arrived. Within a few minutes, I was escorted to a consultation room. Dr. Perez-Steele took the time to speak with me. She also recalled many things I had shared with her during my previous visit last year. ",Engagement with Patient's,State of New Jersey - (Horizon BCBS),New Brunswick Health Center,Positive
Jun-22," first visit, so thoroughly went through family history, my medical history. very caring staff and doctor. took 5 weeks to book an online appt.",Good doctor,Cleveland Bakers & Teamsters (CBT),Seven Hills Lombardo Center Clinic,Positive
Jun-22," The entire staff, from the front door to the back, were nice, responsive and really took the time to help. The AC could have been a little lower, it’s hot here in the south. Lol",Engagement with Patient's,Union County,Monroe Campus Park Clinic,Positive
Jun-22,good follow-through Gathering information ,Concerns addressed,State of Colorado,Pueblo Fortino Boulevard Health Center,Positive
Jun-22, Listen to my concerns and addressed them. N/a,Doctor is hospitable,Plumbers & Pipefitters Union Local 525,Collective Union Health - Windmill Lane,Neutral
Jun-22,"Overall, I have appreciated the nurses doctors I've had there and their calm, patient care. Organization and systems overall seem to still need some improvement. Kind and understanding. Never feel rushed. The system had some sort of glitch and emailed me that my appointment was in a different location than it actually was.",Blood work and vaccine,Hawken School,Beachwood Science Park Drive,Negative
Jun-22,"Dr. Lee was very pushy on the covid vaccine, if the patients decide not to take it, please don't try to convince them everytime you see them.  The only thing i didn't like is the usual covid vaccine persuasion. I have decided not to take it, please don't bring it up everytime I go in for a checkup.",Testing and Treatment,DaVita - Washington,Federal Way 32nd Ave Clinic,Negative
Jun-22, Everyone was attentive and friendly. Also very knowledgeable and sensitive to my situation. ,Professionalism,State of Colorado,Northglenn Metro North Clinic,Positive
Jun-22, You listen to me and gave medicine on timely manner Nothing I can think off,Services,State of New Jersey - (Horizon BCBS),Ewing Health Center,Positive
Jun-22, Everything.  Very professional and friendly. ,Professionalism,Indiana Teamsters Health Benefits Fund,Teamsters 135 Clinic,Positive
Jun-22,Because the staff are very friendly and helpful  ,Professionalism,Monroe County Government,Monroe County Clinic,Positive
Jun-22, It was a phone visit.  Adam was on time calling.  It was quick and I love this. I like having phone appts for simple follow ups. .,Good doctor,Akron Public Schools,Akron S. Main Health Center,Positive
Jun-22," Everything doctor was amazing explaining things so I coukd understand, the nurse was amazing for prep great experience. ",Engagement with Patient's,Weld County Colorado,Weld County Employee Medical Center,Positive
Jun-22, Friendly ,Professionalism,Michelin - South Carolina,Michelin Family Health Center - Anderson,Positive
Jun-22, Everything about the physical was explained to me in detail. Everything was great!,Engagement with Patient's,State of New Jersey - (Horizon BCBS),West Orange Health Center,Positive
Jun-22," Compassion, listening to what I was saying, explanation N/a",Engagement with Patient's,Union County,Monroe Campus Park Clinic,Positive
Jun-22, I like that I am able to be heard about what is going on even when I am not able to explain things well. ,Lab result and services,State of Colorado,Pueblo Fortino Boulevard Health Center,Negative
Jun-22," Dr. Slakoper went above and beyond, getting me an appointment with a specialist within 2 hours! ",Doctor is hospitable,State of New Jersey - (Horizon BCBS),Yardley Health Center,Neutral
Jun-22, Dr. Kelly was very thorough.  Extremely friendly and efficient. Not a negative but the body aches from the Shingle vaccine is real.  I'm not one who typically reacts but serious tiredness and body aches and large at injection site tenderness.,Concerns addressed,Akron Public Schools,Akron S. Main Health Center,Positive
Jun-22, Taking time with me. Listening to me. Nothing.,Doctor listen the concerns,Akron Public Schools,North Canton Lauby Rd,Neutral
Jun-22, Physical and took time to listen to my concerns and address them. ,Doctor listen the concerns,Michelin - South Carolina,Michelin Family Health Center - Donaldson,Neutral
Jun-22, Talk to me and check me out for my pre opt ,Doctor listen the concerns,Clark County Firefighters Local 1908,FirstResponse Family Care Center,Neutral
Jun-22, Very convenient process to make an appointment.  I really felt like the physician was fully engaged at a personal level. ,Good doctor,DaVita - Colorado,Littleton Highline Professional Center Clinic,Positive
Jun-22," David Cameron was very engaging and answered my questions regarding my health and my path forward to make health improvements. The entire staff was polite and provided me with a copy of my biometrics from last year so I could make comparisons. My goal was to remain medication free as I age if at all possible. We discussed ways to improve my blood sugar numbers and he showed me an app I could use. Honestly, it was the best appointment I have had in years regarding input given to me. David is truly a health care professional and represents Everside Health very well.",Good doctor,Michelin - South Carolina,Michelin Family Health Center - HNA,Positive
Jun-22," The staff was accommodating and creative. Having the medication on site was sooooo important. Nothing,",Good doctor,Akron Public Schools,Akron-White Pond Drive Clinic,Positive
Jun-22, Office staff is alway courteous. Shouldn't they always check weight and blood pressure?,Engagement with Patient's,State of New Jersey - (Horizon BCBS),Ewing Health Center,Positive
Jun-22, Everything ,Professionalism,Michelin - South Carolina,Michelin Family Health Center - HNA,Positive
Jun-22, Ask  questions ,Doctor listen the concerns,Plumbers Local 166 - Retirees,Local 166 Clinic,Neutral
Jun-22,Retired now with limited contact of former co workers. Covid Test was quick.  Nurse was proficient in taking vitals.  Didn't waste too much time asking for medical history. ,Engagement with Patient's,Michelin - South Carolina,Michelin Family Health Center - Anderson,Positive
Jun-22," Timely and efficient processing; also scheduled me quickly, including remembering my preference to take an earlier slot and getting me into that slot - really appreciated.

Most importantly, Monique took adequate time with and listened to me. She explained the treatment, including pros/cons. ",Good doctor,nan,Station Casinos Medical Center - Red Rock,Positive
Jun-22, Everything was done well. No complaints. All good.,Concerns addressed,nan,TRIAD Health Centre,Positive
Jun-22," A pre op physical, went very well All things were well",Engagement with Patient's,IBEW Local 364 Health & Welfare Fund,Activate by Everside Rockford Family Medical Center,Positive
Jun-22," - appointment was on time
- re-checked blood pressure to ensure accuracy of first reading
- blood draw was painless :)
- Dr. Glass thoroughly listens to everything going on and looks for various alternatives to assist
- Dr. Glass and after hours on Saturd ",Good doctor,nan,TRIAD Health Centre,Positive
Jun-22, The phlebotomist at this clinic is AMAZING!! All the staff are always so kind. ,Services,State of Colorado,Denver State Capitol Clinic,Positive
Jun-22, Very professional Nothing,Professionalism,Michelin - South Carolina,Michelin Family Health Center - Lexington,Positive
Jun-22," Took time to ask me questions,why I was there. I was totally satisfied.",Good doctor,Aisin - Indiana,Aisin Seymour Tipton Health and Wellness Center,Positive
Jun-22, Communication ,Doctor is hospitable,nan,HCH Muncie Clinic,Neutral
Jun-22," As with all past appointments, the interaction with the staff made me feel that I was their only patient and truly their priority for the day. ",Services,nan,TRIAD Health Centre,Positive
Jun-22, Love the staff very courteous ,Good doctor,City Of South Bend,City Of South Bend Clinic,Positive
Jun-22, Paid attention to my needs. ,Doctor listen the concerns,"UA Local 469 Arizona Pipe Trades - Phoenix, AZ",UA Local 469 Activate Health and Wellness Center - Glendale,Neutral
Jun-22, evaluation for back and joint pain na,Professionalism,Michelin - South Carolina,Michelin Family Health Center - Donaldson,Positive
Jun-22, The staff is wonderful - everyone is courteous and caring and the appointment was on time. ,Services,Akron Public Schools,Cuyahoga Falls Health Center,Positive
Jun-22, Listened to all my concerns and answered very well ,Services,Buckeye Advantage - Bryan,Defiance Clinic,Positive
Jun-22,  Nothing,Doctor is hospitable,City of Arvada,Arvada City of Arvada Clinic,Neutral
Jun-22," The doctors always take their time, are thorough and ask questions to ensure they have a full understanding of my issue Since you switched from Paladina to ever side it seems like it is a little more difficult to make appointments. However, that was last fall when I had my physical in the office was moving",Blood work and vaccine,Akron Public Schools,Akron S. Main Health Center,Negative
Jun-22, Dr.  Smith took time to talk with me about my medical needs and was very helpful.  Great Doctor and staff. ,Good doctor,Union County,Monroe Campus Park Clinic,Positive
Jun-22, Everyone was very pleasant and professional. The Dr was very patient and listened to me and found alternative steps before the huge steps. I can say I have one but keep up the good work.,Good doctor,nan,Teamsters Local 14 Family Wellness Center - Henderson,Positive
Jun-22, Dr. Jordan was amazing. She was kind and made it very comfortable to talk to and address my needs. ,Services,Elkhart County Government,Elkhart County Clinic,Positive
Jun-22, Did a flu test to rule out flu. Diagnosis was pneumonia which I suspected ,Good doctor,Plumbers & Pipefitters Local 23,Activate by Everside Rockford Family Medical Center,Positive
Jun-22, Great explanation on healthcare needed. Didn’t rush without making sure I understood the next step for future care. Can’t think of anything.,Good doctor,nan,Station Casinos Medical Center - Sunset,Positive
Jun-22,"Quick, Friendly, and they don’t rush you through your visit. Take the time to listen. Gave full and undivided attention to me.  Wasn’t doing other things in between. ",Good doctor,Plumbers & Pipefitters Union Local 525,Collective Union Health - Buffalo Drive,Positive
Jun-22,  Heather Tamburrino is a great listener and always goes above and beyond. Office staff are kind and very efficient.,Concerns addressed,Plumbers & Pipefitters Union Local 525,Collective Union Health - Buffalo Drive,Positive
Jun-22, I was early to my appt and the office was able to accommodate me. N/a,Doctor is hospitable,nan,TRIAD Health Centre,Neutral
Jun-22, Explained the process during the procedure. ,Doctor listen the concerns,Aisin - Indiana,Aisin Seymour Tipton Health and Wellness Center,Neutral
Jun-22," Nurse was very friendly and very knowledgeable. Sherri online appointment allowed 2 people to sign up for the same appointment time, had to wait till the other person finished their visit before Dr. was seen- other than that all was good",Engagement with Patient's,Michelin - South Carolina,Michelin Family Health Center - Anderson Satellite (Starr),Positive
Jun-22," Very Friendly, Nothing,  went well",Professionalism,North Lawrence School District,Bedford Clinic,Positive
Jun-22, Great job ! ,Good doctor,Michelin - South Carolina,Michelin Family Health Center - Donaldson,Positive
Jun-22,Scott Zeller is extremely personable and extremely thorough which I really appreciate. You can tell he's passionate about his job.  ,Good doctor,DaVita - Colorado,Denver State Capitol Clinic,Positive
Jun-22, Sharon Cavalier is professional and caring while helping me to make informed decisions about my health care. I have nothing to criticize.,Services,Elkhart Community Schools,Elkhart Schools Clinic,Positive
Jun-22, Everything Nothing,Engagement with Patient's,North Vernon Industry Corp.,NVIC Clinic,Positive
Jun-22, My overall experience from the time I walked through the door was excellent.  The Dr was professional and very personal which I like  she explained everything to me and the follow-up was also good. ,Services,State of New Jersey - (Horizon BCBS),Hamilton Quakerbridge Road Office,Positive
Jun-22,The staff is excellent! They are all very personable and take exceptional care with each and every question or concern I have. It is so easy to come in. The staff is organized and made it very easy to come in and begin the appointment. I am extremely happy with your service and would not change a thing.,Services,City Of Kalamazoo,City of Kalamazoo Clinic,Positive
Jun-22, Dr. Bing can’t was attentive and very thorough. ,Services,"Plumbers, Pipefitters And MES Local 392",Local 212 Clinic,Positive
Jun-22," Check in friendly. Lindsey FNP was kind, patient, professional and took her time ",Good doctor,Michelin - South Carolina,Michelin Family Health Center - Donaldson,Positive
Jun-22, Dr. Donna took time to explain to me each of my lab results. She also took the time to listen to my concerns and go back and check other labs I had had before. I felt very good after talking to her. ,Good doctor,South Bend Community Schools,South Bend Community Schools Clinic,Positive
Jun-22,They were very helpful and understanding of my needs. And really cared about me  ,Good doctor,Michelin - South Carolina,Michelin Family Health Center - Lexington,Positive
Jun-22, Very thorough evaluation Online and app not working properly,Good doctor,UA Local 25 Plumbers and Pipefitters,UA Local 25 Family Medical Center,Positive
Jun-22, Everything went well and I felt confident during appointment Appointment was great,Engagement with Patient's,Lincoln Electric,Euclid Lincoln Electric Clinic,Positive
Jun-22," The friendliness, care and thoroughness is absolutely top notch. Nothing.  All went well.  I was the one who messed up the appointment time and they still accomodated me.",Services,State of Colorado,Littleton Highline Professional Center Clinic,Positive
Jun-22, Provider was kind and attentive to my needs ,Professionalism,State of New Jersey - (Horizon BCBS),New Brunswick Health Center,Positive
Jun-22, Wonderful communication! ,Engagement with Patient's,Monroe County Government,Monroe County Clinic,Positive
Jun-22,"I have had a few issue, but I can see a improvment . I will continue to use MTC medical . Mel was very accomdating in talking about my issues. I did not feel rushed , etc..... Good visit Nothing",Blood work and vaccine,Michelin - South Carolina,Michelin Family Health Center - HNA,Negative
Jun-22," covered everything, on time ",Professionalism,Spangler Candy Company,Bryan Clinic,Positive
Jun-22, Timeframe in the office None,Doctor is hospitable,State of New Jersey - (Horizon BCBS),New Brunswick Health Center,Neutral
Jun-22," Staff to patient communication went well. Doctor to patient communication was great. The Dr is very knowledgeable, kind, understanding. He treats patients like people (not just another number)  and takes the time to listen to and understand the patients questions and concerns. N/a",Engagement with Patient's,IBEW Local 357,Union Family Health Center - Northwest,Positive
Jun-22,Sometimes hard to get ahold of  ,Services,Indiana Teamsters Health Benefits Fund,City Of Mishawaka Clinic,Positive
Jun-22, Staff is great. Dr Schuster is just an awesome person and Dr. ,Concerns addressed,Plumbers & Steamfitters Local 440,Local 440 Clinic,Positive
Jun-22, Brandon was very courteous and caring.  He explained things better than the emergency room staff did. Everything was good.,Good doctor,nan,Teamsters Local 14 Family Wellness Center - Northwest,Positive
Jun-22, Courtesy ,Concerns addressed,nan,Cooper Farms Van Wert Clinic,Positive
Jun-22," The staff is very friendly and caring, staff and provider listened closely to what I needed ",Engagement with Patient's,Clark County Firefighters Local 1908,FirstResponse Family Care Center,Positive
Jun-22," They have helped me get my BP, and sugar ( which didn't know was a problem ) under control and starting to work on some weight loss ",Good doctor,Constellium,Constellium Clinic,Positive
Jun-22, Excellent service ,Services,"UA Local 469 Arizona Pipe Trades - Phoenix, AZ",UA Local 469 Activate Health and Wellness Center - Union Hall Site,Positive
Jun-22," The visit with the doctor was fantastic! Dr. Simon is knowledgeable, friendly, easy to talk with, open to discuss alternative treatments. In general a great experience. Support staff is welcoming enough, however, I believe that additional training in customer service would be beneficial. In my experience, I felt that I was being directed, instead of being asked to do something. It was unpleasant to receive direction. I would much rather be treated respectfully.",Engagement with Patient's,MCSIG,Altais Monterey Ryan Ranch,Positive
Jun-22,"Office is small, feel like privacy is lacking. Or that staff is listening to discussion with DR. On time, listening Again seems like staff is listening to discussion when in room.",Lab result and services,State of Colorado,Fort Collins Caring for the Family,Negative
Jun-22,It's only available to people with a particular insurance plan - most of my friends and family do not qualify Got me in and out quickly. Was able to accommodate my request for a vaccination immediately. ,Good doctor,Mid Central Operating Engineers - MCOE,East Peoria Clinic,Positive
Jun-22, Spent a lot of time with me and I felt heard by my provider ,Doctor listen the concerns,City of Puyallup,Puyallup Meeker's Landing Clinic,Neutral
Jun-22, Doctor Cochran is always so pleasant and always follows up with any concerns I have ,Services,DaVita - Washington,Tacoma Health Center,Positive
Jun-22, Complete explanation and answers for questions. Offer free coffee,Services,East Central Illinois Pipe Trades,Activate by Everside Springfield Clinic,Positive
Jun-22,The staff and doctor is AWESOME  ,Services,Owen County State Bank,Monroe County Clinic,Positive
Jun-22, Jeffrey is a great health care provider and always listens and takes care of my medical concerns. ,Services,nan,NW-EH Health & Wellness Center,Positive
Jun-22, Heather is very attentive to all my concerns Person drawing blood needs more training,Services,Plumbers & Pipefitters Union Local 525,Collective Union Health - Buffalo Drive,Positive
Jun-22, Took time to explain. Did not rush. I did not know we could contact you for an urgent medical need.,Good doctor,nan,NW-EH Health & Wellness Center,Positive
Jun-22,Dr Jordan always takes the time to talk to you and make you feel comfortable Very attentive to my needs. ,Good doctor,Elkhart Community Schools,Elkhart Schools Clinic,Positive
Jun-22," Took time for me. Updated all my info which took a little time so we probably did not start our appointment right on time. 
Dr was very nice and reassuring. No concerns to share here",Good doctor,Keller Logistics,Defiance Clinic,Positive
Jun-22, Everything ,Professionalism,Steel Warehouse,City Of South Bend Clinic,Positive
Jun-22," Courteous staff, doctor give what you ask for None",Engagement with Patient's,nan,Station Casinos Medical Center - Sunset,Positive
Jun-22,We like Dr Browne  ,Concerns addressed,Michelin - South Carolina,Michelin Family Health Center - HNA,Positive
Jun-22,doctor & NP in Bloomington are amazing. everyone else is difficult NP Wendy was very thorough and easy to talk to as well as easy to understand the treatment plan she prescribed Front desk staff Tanya was gruff & not easy to understand or talk with,Good doctor,Monroe County Government,Monroe County Clinic,Positive
Jun-22," Bloodwork, biometrics, annual physical. ",Doctor listen the concerns,Lincoln Electric,Euclid Lincoln Electric Clinic,Neutral
Jun-22, Everything Nothing,Engagement with Patient's,nan,NW-EH Health & Wellness Center,Positive
Jun-22, My appointment started early. Dr. Curtis was more than thorough in his assessment of my issue. Nothing.,Doctor is hospitable,City of Arvada,Arvada City of Arvada Clinic,Neutral
